id,game_key,season_type,season,week,date_time,away_team,away_id,home_team,home_id,point_spread,over_under,canceled,status,sportsdata_id,channel,forecast_temp_low,forecast_temp_high,forecast_description,forecast_wind_chill,forecast_wind_speed,home_team_money_line,away_team_money_line,stadium_type,stadium_playing_surface,stadium_name,stadium_city,stadium_state,stadium_country,updated_at,league,rts_id
266,202110133,1,2021,1,9/9/2021 20:20,DAL,9,TB,33,-9,52.5,FALSE,Final,17682,NBC,79,82,Broken Clouds,79,9,-439,341,Outdoor,Grass,Raymond James Stadium,Tampa Bay,FL,USA,30:46.1,nfl,0
267,202110102,1,2021,1,9/12/2021 13:00,PHI,26,ATL,2,-3.5,48.5,FALSE,Final,17683,FOX,70,73,Clear Sky,70,3,-178,148,RetractableDome,Artificial,Mercedes-Benz Stadium,Atlanta,GA,USA,30:46.2,nfl,0
268,202110104,1,2021,1,9/12/2021 13:00,PIT,28,BUF,4,-6.5,48,FALSE,Final,17684,CBS,58,65,Light Rain,65,6,-282,231,Outdoor,Artificial,Highmark Stadium,Orchard Park,NY,USA,30:46.3,nfl,0
269,202110105,1,2021,1,9/12/2021 13:00,NYJ,24,CAR,5,-4,45,FALSE,Final,17690,CBS,68,69,Clear Sky,69,5,-188,156,Outdoor,Artificial,Bank of America Stadium,Charlotte,NC,USA,30:46.3,nfl,0
270,202110107,1,2021,1,9/12/2021 13:00,MIN,20,CIN,7,3,47.5,FALSE,F/OT,17685,FOX,70,73,Clear Sky,73,5,128,-153,Outdoor,Artificial,Paul Brown Stadium,Cincinnati,OH,USA,30:46.4,nfl,0
271,202110111,1,2021,1,9/12/2021 13:00,SF,31,DET,11,9.5,46,FALSE,Final,17686,FOX,66,69,Overcast Clouds,69,5,331,-428,Dome,Artificial,Ford Field,Detroit,MI,USA,30:46.4,nfl,0
272,202110113,1,2021,1,9/12/2021 13:00,JAX,15,HOU,13,3.5,45.5,FALSE,Final,17691,CBS,75,78,Light Rain,78,8,142,-170,RetractableDome,Artificial,NRG Stadium,Houston,TX,USA,30:46.5,nfl,0
273,202110114,1,2021,1,9/12/2021 13:00,SEA,30,IND,14,3,48.5,FALSE,Final,17688,FOX,69,72,Few Clouds,72,8,129,-155,RetractableDome,Artificial,Lucas Oil Stadium,Indianapolis,IN,USA,30:46.6,nfl,0
274,202110134,1,2021,1,9/12/2021 13:00,ARI,1,TEN,34,-2.5,54,FALSE,Final,17687,CBS,71,72,Clear Sky,71,4,-146,123,Outdoor,Grass,Nissan Stadium,Nashville,TN,USA,30:46.6,nfl,0
275,202110135,1,2021,1,9/12/2021 13:00,LAC,29,WAS,35,-2,45.5,FALSE,Final,17689,CBS,70,73,Few Clouds,73,5,-129,109,Outdoor,Grass,FedEx Field,Landover,MD,USA,30:46.7,nfl,0
276,202110116,1,2021,1,9/12/2021 16:25,CLE,8,KC,16,-5.5,54.5,FALSE,Final,17692,CBS,75,75,Clear Sky,75,13,-240,197,Outdoor,Grass,Arrowhead Stadium,Kansas City,MO,USA,30:46.8,nfl,0
277,202110121,1,2021,1,9/12/2021 16:25,MIA,19,NE,21,-3.5,43.5,FALSE,Final,17693,CBS,67,69,Light Rain,69,5,-184,153,Outdoor,Artificial,Gillette Stadium,Foxborough,MA,USA,30:46.8,nfl,0
278,202110122,1,2021,1,9/12/2021 16:25,GB,12,NO,22,3.5,49,FALSE,Final,17694,FOX,75,76,Scattered Clouds,75,4,162,-192,Outdoor,Grass,TIAA Bank Field,Jacksonville,FL,USA,30:46.8,nfl,0
279,202110123,1,2021,1,9/12/2021 16:25,DEN,10,NYG,23,2.5,41.5,FALSE,Final,17695,FOX,74,75,Broken Clouds,75,9,120,-142,Outdoor,Artificial,MetLife Stadium,East Rutherford,NJ,USA,30:46.9,nfl,0
280,202110132,1,2021,1,9/12/2021 20:20,CHI,6,LAR,32,-9,46.5,FALSE,Final,17696,NBC,72,72,Clear Sky,72,4,-418,326,Dome,Artificial,SoFi Stadium,Inglewood,CA,USA,30:47.0,nfl,0
281,202110125,1,2021,1,9/13/2021 20:15,BAL,3,LV,25,3.5,50,FALSE,F/OT,17697,ESPN,88,92,Clear Sky,92,10,147,-177,Dome,Grass,Allegiant Stadium,Las Vegas,NV,USA,30:47.0,nfl,0
282,202110235,1,2021,2,9/16/2021 20:20,NYG,23,WAS,35,-4.5,41.5,FALSE,Final,17698,NFLN,71,71,Overcast Clouds,71,6,-202,170,Outdoor,Grass,FedEx Field,Landover,MD,USA,30:47.1,nfl,0
283,202110205,1,2021,2,9/19/2021 13:00,NO,22,CAR,5,3,44.5,FALSE,Final,17706,FOX,71,71,Overcast Clouds,71,5,130,-153,Outdoor,Artificial,Bank of America Stadium,Charlotte,NC,USA,30:47.2,nfl,0
284,202110206,1,2021,2,9/19/2021 13:00,CIN,7,CHI,6,-1.5,44.5,FALSE,Final,17699,FOX,75,76,Overcast Clouds,76,11,-125,106,Outdoor,Grass,Soldier Field,Chicago,IL,USA,30:47.2,nfl,0
285,202110208,1,2021,2,9/19/2021 13:00,HOU,13,CLE,8,-13.5,48,FALSE,Final,17700,CBS,69,69,Scattered Clouds,69,10,-741,525,Outdoor,Grass,FirstEnergy Stadium,Cleveland,OH,USA,30:47.3,nfl,0
286,202110214,1,2021,2,9/19/2021 13:00,LAR,32,IND,14,4,48.5,FALSE,Final,17701,FOX,71,72,Light Rain,72,6,169,-201,RetractableDome,Artificial,Lucas Oil Stadium,Indianapolis,IN,USA,30:47.3,nfl,0
287,202110215,1,2021,2,9/19/2021 13:00,DEN,10,JAX,15,6,45.5,FALSE,Final,17707,CBS,76,76,Light Rain,76,2,221,-270,Outdoor,Grass,TIAA Bank Field,Jacksonville,FL,USA,30:47.4,nfl,0
288,202110219,1,2021,2,9/19/2021 13:00,BUF,4,MIA,19,3.5,48,FALSE,Final,17702,FOX,81,85,Light Rain,81,3,156,-187,Outdoor,Grass,Hard Rock Stadium,Miami Gardens,FL,USA,30:47.4,nfl,0
289,202110224,1,2021,2,9/19/2021 13:00,NE,21,NYJ,24,5.5,43,FALSE,Final,17703,CBS,63,65,Clear Sky,63,3,195,-237,Outdoor,Artificial,MetLife Stadium,East Rutherford,NJ,USA,30:47.5,nfl,0
290,202110226,1,2021,2,9/19/2021 13:00,SF,31,PHI,26,3,49,FALSE,Final,17704,FOX,61,63,Clear Sky,61,3,125,-149,Outdoor,Grass,Lincoln Financial Field,Philadelphia,PA,USA,30:47.5,nfl,0
291,202110228,1,2021,2,9/19/2021 13:00,LV,25,PIT,28,-5.5,46.5,FALSE,Final,17705,CBS,64,65,Scattered Clouds,65,4,-226,187,Outdoor,Grass,Heinz Field,Pittsburgh,PA,USA,30:47.6,nfl,0
292,202110201,1,2021,2,9/19/2021 16:05,MIN,20,ARI,1,-3.5,50.5,FALSE,Final,17708,FOX,89,90,Clear Sky,89,5,-194,163,RetractableDome,Grass,State Farm Stadium,Glendale,AZ,USA,30:47.6,nfl,0
293,202110233,1,2021,2,9/19/2021 16:05,ATL,2,TB,33,-13,52,FALSE,Final,17709,FOX,79,81,Overcast Clouds,79,4,-756,543,Outdoor,Grass,Raymond James Stadium,Tampa Bay,FL,USA,30:47.7,nfl,0
294,202110229,1,2021,2,9/19/2021 16:25,DAL,9,LAC,29,-3,55,FALSE,Final,17710,CBS,66,68,Clear Sky,66,4,-158,133,Dome,Artificial,SoFi Stadium,Inglewood,CA,USA,30:47.7,nfl,0
295,202110230,1,2021,2,9/19/2021 16:25,TEN,34,SEA,30,-6.5,54,FALSE,F/OT,17711,CBS,52,55,Light Rain,55,4,-281,225,Outdoor,Artificial,Lumen Field,Seattle,WA,USA,30:47.8,nfl,0
296,202110203,1,2021,2,9/19/2021 20:20,KC,16,BAL,3,4,53.5,FALSE,Final,17712,NBC,64,66,Clear Sky,64,5,160,-196,Outdoor,Grass,M&T Bank Stadium,Baltimore,MD,USA,30:47.9,nfl,0
297,202110212,1,2021,2,9/20/2021 20:15,DET,11,GB,12,-11.5,49.5,FALSE,Final,17713,ESPN,65,70,Heavy Intensity Rain,70,6,-591,439,Outdoor,Grass,Lambeau Field,Green Bay,WI,USA,30:47.9,nfl,0
298,202110313,1,2021,3,9/23/2021 20:20,CAR,5,HOU,13,8.5,43,FALSE,Final,17714,NFLN,68,69,Clear Sky,68,4,317,-402,RetractableDome,Artificial,NRG Stadium,Houston,TX,USA,30:48.0,nfl,0
299,202110304,1,2021,3,9/26/2021 13:00,WAS,35,BUF,4,-7.5,45.5,FALSE,Final,17715,FOX,60,61,Light Rain,60,11,-340,272,Outdoor,Artificial,Highmark Stadium,Orchard Park,NY,USA,30:48.0,nfl,0
300,202110308,1,2021,3,9/26/2021 13:00,CHI,6,CLE,8,-8,45,FALSE,Final,17716,FOX,65,65,Few Clouds,65,15,-366,286,Outdoor,Grass,FirstEnergy Stadium,Cleveland,OH,USA,30:48.1,nfl,0
301,202110311,1,2021,3,9/26/2021 13:00,BAL,3,DET,11,7.5,50.5,FALSE,Final,17717,CBS,64,66,Overcast Clouds,66,10,304,-387,Dome,Artificial,Ford Field,Detroit,MI,USA,30:48.1,nfl,0
302,202110315,1,2021,3,9/26/2021 13:00,ARI,1,JAX,15,8,51,FALSE,Final,17723,FOX,70,72,Clear Sky,70,3,304,-385,Outdoor,Grass,TIAA Bank Field,Jacksonville,FL,USA,30:48.2,nfl,0
303,202110316,1,2021,3,9/26/2021 13:00,LAC,29,KC,16,-7,54,FALSE,Final,17719,CBS,76,77,Clear Sky,76,17,-305,248,Outdoor,Grass,Arrowhead Stadium,Kansas City,MO,USA,30:48.2,nfl,0
304,202110321,1,2021,3,9/26/2021 13:00,NO,22,NE,21,-3,43.5,FALSE,Final,17720,FOX,52,53,Clear Sky,53,5,-151,128,Outdoor,Artificial,Gillette Stadium,Foxborough,MA,USA,30:48.3,nfl,0
305,202110323,1,2021,3,9/26/2021 13:00,ATL,2,NYG,23,-2.5,47,FALSE,Final,17721,FOX,62,62,Clear Sky,62,8,-144,123,Outdoor,Artificial,MetLife Stadium,East Rutherford,NJ,USA,30:48.3,nfl,0
306,202110328,1,2021,3,9/26/2021 13:00,CIN,7,PIT,28,-2.5,42,FALSE,Final,17722,CBS,57,58,Scattered Clouds,58,7,-137,117,Outdoor,Grass,Heinz Field,Pittsburgh,PA,USA,30:48.4,nfl,0
307,202110334,1,2021,3,9/26/2021 13:00,IND,14,TEN,34,-4.5,47,FALSE,Final,17718,CBS,61,64,Clear Sky,61,4,-218,179,Outdoor,Grass,Nissan Stadium,Nashville,TN,USA,30:48.4,nfl,0
308,202110310,1,2021,3,9/26/2021 16:05,NYJ,24,DEN,10,-10,41.5,FALSE,Final,17724,CBS,70,73,Overcast Clouds,70,5,-585,434,Outdoor,Grass,Empower Field at Mile High,Denver,CO,USA,30:48.5,nfl,0
309,202110325,1,2021,3,9/26/2021 16:05,MIA,19,LV,25,-3.5,45,FALSE,F/OT,17725,CBS,80,83,Clear Sky,83,6,-180,151,Dome,Grass,Allegiant Stadium,Las Vegas,NV,USA,30:48.5,nfl,0
310,202110332,1,2021,3,9/26/2021 16:25,TB,33,LAR,32,0.5,55,FALSE,Final,17726,FOX,64,64,Broken Clouds,64,5,-107,-112,Dome,Artificial,SoFi Stadium,Inglewood,CA,USA,30:48.5,nfl,0
311,202110320,1,2021,3,9/26/2021 16:25,SEA,30,MIN,20,2,54,FALSE,Final,17727,FOX,64,66,Clear Sky,64,3,107,-127,Dome,Artificial,U.S. Bank Stadium,Minneapolis,MN,USA,30:48.6,nfl,0
312,202110331,1,2021,3,9/26/2021 20:20,GB,12,SF,31,-3.5,50.5,FALSE,Final,17728,NBC,59,59,Scattered Clouds,59,3,-176,148,Outdoor,Grass,Levi's Stadium,Santa Clara,CA,USA,30:48.7,nfl,0
313,202110309,1,2021,3,9/27/2021 20:15,PHI,26,DAL,9,-3.5,51.5,FALSE,Final,17729,ESPN,76,78,Few Clouds,76,6,-185,154,RetractableDome,Artificial,AT&T Stadium,Arlington,TX,USA,30:48.7,nfl,0
314,202110407,1,2021,4,9/30/2021 20:20,JAX,15,CIN,7,-7,46,FALSE,Final,17730,NFLN,58,61,Scattered Clouds,61,4,-342,270,Outdoor,Artificial,Paul Brown Stadium,Cincinnati,OH,USA,30:48.8,nfl,0
315,202110402,1,2021,4,10/3/2021 13:00,WAS,35,ATL,2,2,47.5,FALSE,Final,17731,FOX,65,67,Light Rain,67,4,107,-127,RetractableDome,Artificial,Mercedes-Benz Stadium,Atlanta,GA,USA,30:48.8,nfl,0
316,202110404,1,2021,4,10/3/2021 13:00,HOU,13,BUF,4,-18,47,FALSE,Final,17732,CBS,63,65,Light Rain,65,4,-1703,937,Outdoor,Artificial,Highmark Stadium,Orchard Park,NY,USA,30:48.9,nfl,0
317,202110406,1,2021,4,10/3/2021 13:00,DET,11,CHI,6,-2.5,41.5,FALSE,Final,17733,FOX,65,65,Broken Clouds,65,9,-150,127,Outdoor,Grass,Soldier Field,Chicago,IL,USA,30:48.9,nfl,0
318,202110409,1,2021,4,10/3/2021 13:00,CAR,5,DAL,9,-4,51.5,FALSE,Final,17734,FOX,72,76,Few Clouds,72,3,-207,173,RetractableDome,Artificial,AT&T Stadium,Arlington,TX,USA,30:49.0,nfl,0
319,202110419,1,2021,4,10/3/2021 13:00,IND,14,MIA,19,-3,41.5,FALSE,Final,17735,CBS,79,80,Scattered Clouds,79,9,-146,122,Outdoor,Grass,Hard Rock Stadium,Miami Gardens,FL,USA,30:49.0,nfl,0
320,202110420,1,2021,4,10/3/2021 13:00,CLE,8,MIN,20,0.5,51.5,FALSE,Final,17736,CBS,57,60,Clear Sky,57,3,-107,-112,Dome,Artificial,U.S. Bank Stadium,Minneapolis,MN,USA,30:49.1,nfl,0
321,202110422,1,2021,4,10/3/2021 13:00,NYG,23,NO,22,-7,42.5,FALSE,F/OT,17737,FOX,74,76,Light Rain,76,4,-338,270,Dome,Artificial,Caesars Superdome,New Orleans,LA,USA,30:49.1,nfl,0
322,202110424,1,2021,4,10/3/2021 13:00,TEN,34,NYJ,24,5.5,44.5,FALSE,F/OT,17738,CBS,69,69,Light Rain,69,2,215,-267,Outdoor,Artificial,MetLife Stadium,East Rutherford,NJ,USA,30:49.1,nfl,0
323,202110426,1,2021,4,10/3/2021 13:00,KC,16,PHI,26,7,53.5,FALSE,Final,17739,CBS,68,69,Light Rain,69,4,278,-357,Outdoor,Grass,Lincoln Financial Field,Philadelphia,PA,USA,30:49.2,nfl,0
324,202110432,1,2021,4,10/3/2021 16:05,ARI,1,LAR,32,-3.5,54,FALSE,Final,17740,FOX,74,75,Scattered Clouds,74,3,-206,172,Dome,Artificial,SoFi Stadium,Inglewood,CA,USA,30:49.2,nfl,0
325,202110431,1,2021,4,10/3/2021 16:05,SEA,30,SF,31,-2.5,52,FALSE,Final,17741,FOX,71,72,Scattered Clouds,72,0,-137,115,Outdoor,Grass,Levi's Stadium,Santa Clara,CA,USA,30:49.3,nfl,0
327,202110412,1,2021,4,10/3/2021 16:25,PIT,28,GB,12,-6,45.5,FALSE,Final,17743,CBS,62,63,Overcast Clouds,63,5,-266,215,Outdoor,Grass,Lambeau Field,Green Bay,WI,USA,30:49.4,nfl,0
328,202110421,1,2021,4,10/3/2021 20:20,TB,33,NE,21,6.5,49.5,FALSE,Final,17744,NBC,58,58,Moderate Rain,58,6,234,-289,Outdoor,Artificial,Gillette Stadium,Foxborough,MA,USA,30:49.4,nfl,0
329,202110429,1,2021,4,10/4/2021 20:15,LV,25,LAC,29,-3.5,52,FALSE,Final,17745,ESPN,70,71,Light Rain,71,3,-170,143,Dome,Artificial,SoFi Stadium,Inglewood,CA,USA,30:49.4,nfl,0
330,202110530,1,2021,5,10/7/2021 20:20,LAR,32,SEA,30,2.5,53,FALSE,Final,17746,FOX,45,46,Scattered Clouds,46,2,124,-145,Outdoor,Artificial,Lumen Field,Seattle,WA,USA,30:49.5,nfl,0
331,202110502,1,2021,5,10/10/2021 9:30,NYJ,24,ATL,2,-2.5,45,FALSE,Final,17747,NFLN,47,49,Overcast Clouds,45,6,-144,122,Outdoor,NULL,Tottenham Hotspur Stadium,London,NULL,UK,30:49.5,nfl,0
332,202110505,1,2021,5,10/10/2021 13:00,PHI,26,CAR,5,-2.5,46,FALSE,Final,17753,FOX,63,63,Clear Sky,63,6,-141,119,Outdoor,Artificial,Bank of America Stadium,Charlotte,NC,USA,30:49.6,nfl,0
333,202110507,1,2021,5,10/10/2021 13:00,GB,12,CIN,7,2.5,50.5,FALSE,F/OT,17748,FOX,66,69,Clear Sky,69,4,115,-137,Outdoor,Artificial,Paul Brown Stadium,Cincinnati,OH,USA,30:49.6,nfl,0
334,202110513,1,2021,5,10/10/2021 13:00,NE,21,HOU,13,8,39,FALSE,Final,17755,CBS,79,80,Broken Clouds,80,11,296,-377,RetractableDome,Artificial,NRG Stadium,Houston,TX,USA,30:49.7,nfl,0
335,202110515,1,2021,5,10/10/2021 13:00,TEN,34,JAX,15,5,48.5,FALSE,Final,17754,CBS,71,72,Clear Sky,71,3,168,-201,Outdoor,Grass,TIAA Bank Field,Jacksonville,FL,USA,30:49.7,nfl,0
336,202110520,1,2021,5,10/10/2021 13:00,DET,11,MIN,20,-10,49.5,FALSE,Final,17749,FOX,56,56,Scattered Clouds,56,8,-429,334,Dome,Artificial,U.S. Bank Stadium,Minneapolis,MN,USA,30:49.8,nfl,0
337,202110528,1,2021,5,10/10/2021 13:00,DEN,10,PIT,28,2,39.5,FALSE,Final,17750,FOX,61,62,Broken Clouds,62,5,107,-127,Outdoor,Grass,Heinz Field,Pittsburgh,PA,USA,30:49.8,nfl,0
338,202110533,1,2021,5,10/10/2021 13:00,MIA,19,TB,33,-11,48,FALSE,Final,17751,CBS,74,75,Broken Clouds,75,9,-586,432,Outdoor,Grass,Raymond James Stadium,Tampa Bay,FL,USA,30:49.9,nfl,0
339,202110535,1,2021,5,10/10/2021 13:00,NO,22,WAS,35,2.5,43.5,FALSE,Final,17752,CBS,64,64,Overcast Clouds,64,8,119,-141,Outdoor,Grass,FedEx Field,Landover,MD,USA,30:49.9,nfl,0
340,202110529,1,2021,5,10/10/2021 16:05,CLE,8,LAC,29,-2.5,47,FALSE,Final,17757,CBS,66,68,Clear Sky,66,3,-135,114,Dome,Artificial,SoFi Stadium,Inglewood,CA,USA,30:50.0,nfl,0
341,202110525,1,2021,5,10/10/2021 16:05,CHI,6,LV,25,-5,46,FALSE,Final,17756,CBS,66,66,Clear Sky,66,3,-246,202,Dome,Grass,Allegiant Stadium,Las Vegas,NV,USA,30:50.0,nfl,0
342,202110501,1,2021,5,10/10/2021 16:25,SF,31,ARI,1,-5.5,48.5,FALSE,Final,17759,FOX,73,77,Clear Sky,73,3,-243,199,RetractableDome,Grass,State Farm Stadium,Glendale,AZ,USA,30:50.1,nfl,0
343,202110509,1,2021,5,10/10/2021 16:25,NYG,23,DAL,9,-7,52.5,FALSE,Final,17758,FOX,70,75,Moderate Rain,70,17,-317,253,RetractableDome,Artificial,AT&T Stadium,Arlington,TX,USA,30:50.1,nfl,0
344,202110516,1,2021,5,10/10/2021 20:20,BUF,4,KC,16,-2.5,56.5,FALSE,Final,17760,NBC,59,59,Moderate Rain,59,12,-147,124,Outdoor,Grass,Arrowhead Stadium,Kansas City,MO,USA,30:50.2,nfl,0
345,202110503,1,2021,5,10/11/2021 20:15,IND,14,BAL,3,-7.5,46.5,FALSE,F/OT,17761,ESPN,64,65,Overcast Clouds,65,6,-349,278,Outdoor,Grass,M&T Bank Stadium,Baltimore,MD,USA,30:50.3,nfl,0
346,202110626,1,2021,6,10/14/2021 20:20,TB,33,PHI,26,7,52.5,FALSE,Final,17762,FOX,63,66,Broken Clouds,63,3,247,-305,Outdoor,Grass,Lincoln Financial Field,Philadelphia,PA,USA,30:50.3,nfl,0
347,202110615,1,2021,6,10/17/2021 9:30,MIA,19,JAX,15,1.5,47,FALSE,Final,17763,CBS,50,52,Overcast Clouds,50,5,109,-128,Outdoor,NULL,Tottenham Hotspur Stadium,London,NULL,UK,30:50.3,nfl,0
348,202110603,1,2021,6,10/17/2021 13:00,LAC,29,BAL,3,-3,51,FALSE,Final,17770,CBS,51,53,Clear Sky,51,10,-160,135,Outdoor,Grass,M&T Bank Stadium,Baltimore,MD,USA,30:50.4,nfl,0
349,202110605,1,2021,6,10/17/2021 13:00,MIN,20,CAR,5,2,45.5,FALSE,F/OT,17769,FOX,49,51,Clear Sky,48,4,112,-132,Outdoor,Artificial,Bank of America Stadium,Charlotte,NC,USA,30:50.4,nfl,0
350,202110606,1,2021,6,10/17/2021 13:00,GB,12,CHI,6,5.5,44,FALSE,Final,17764,FOX,53,57,Clear Sky,53,7,181,-223,Outdoor,Grass,Soldier Field,Chicago,IL,USA,30:50.5,nfl,0
351,202110611,1,2021,6,10/17/2021 13:00,CIN,7,DET,11,3.5,46.5,FALSE,Final,17765,FOX,50,52,Clear Sky,50,9,159,-190,Dome,Artificial,Ford Field,Detroit,MI,USA,30:50.5,nfl,0
352,202110614,1,2021,6,10/17/2021 13:00,HOU,13,IND,14,-11.5,44.5,FALSE,Final,17766,CBS,49,52,Few Clouds,48,4,-565,420,RetractableDome,Artificial,Lucas Oil Stadium,Indianapolis,IN,USA,30:50.6,nfl,0
353,202110623,1,2021,6,10/17/2021 13:00,LAR,32,NYG,23,7.5,49,FALSE,Final,17767,FOX,52,53,Few Clouds,52,10,300,-384,Outdoor,Artificial,MetLife Stadium,East Rutherford,NJ,USA,30:50.6,nfl,0
354,202110635,1,2021,6,10/17/2021 13:00,KC,16,WAS,35,6.5,54,FALSE,Final,17768,CBS,49,50,Scattered Clouds,47,6,236,-291,Outdoor,Grass,FedEx Field,Landover,MD,USA,30:50.7,nfl,0
355,202110608,1,2021,6,10/17/2021 16:05,ARI,1,CLE,8,-3,48.5,FALSE,Final,17771,FOX,55,57,Broken Clouds,55,16,-156,131,Outdoor,Grass,FirstEnergy Stadium,Cleveland,OH,USA,30:50.7,nfl,0
356,202110610,1,2021,6,10/17/2021 16:25,LV,25,DEN,10,-5,45,FALSE,Final,17772,CBS,56,59,Few Clouds,56,3,-209,175,Outdoor,Grass,Empower Field at Mile High,Denver,CO,USA,30:50.8,nfl,0
357,202110621,1,2021,6,10/17/2021 16:25,DAL,9,NE,21,3.5,50.5,FALSE,F/OT,17773,CBS,48,49,Scattered Clouds,45,8,162,-194,Outdoor,Artificial,Gillette Stadium,Foxborough,MA,USA,30:50.8,nfl,0
358,202110628,1,2021,6,10/17/2021 20:20,SEA,30,PIT,28,-5.5,42.5,FALSE,F/OT,17774,NBC,47,49,Few Clouds,43,8,-224,184,Outdoor,Grass,Heinz Field,Pittsburgh,PA,USA,30:50.8,nfl,0
359,202110634,1,2021,6,10/18/2021 20:15,BUF,4,TEN,34,6,53.5,FALSE,Final,17775,ESPN,53,56,Clear Sky,53,3,220,-269,Outdoor,Grass,Nissan Stadium,Nashville,TN,USA,30:50.9,nfl,0
