id,city,name,short_code,active,conference,division,head_coach,offensive_coordinator,defensive_coordinator,special_teams_coach,offensive_scheme,defensive_scheme,primary_color,secondary_color,tertiary_color,quaternary_color,injury_status,injury_body_part,injury_notes,injury_start_date,sportsdata_team_id,draftkings_player_id,fanduel_player_id,fantasydraft_player_id,yahoo_player_id,updated_at,nfl_fastr_code,sportsdata_fantasy_id,league,rts_id
1,Arizona,Cardinals,ARI,FALSE,NFC,West,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Jeff Rodgers,3WR,4-Mar,97233F,FFFFFF,0,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,1,355,12546,355,NULL,30:25.8,ARI,1,nfl,0
2,Atlanta,Falcons,ATL,FALSE,NFC,South,Arthur Smith,Dave Ragone,Dean Pees,Marquice Williams,3WR,4-Mar,0,A71930,A5ACAF,FFFFFF,NULL,NULL,NULL,0001-01-01 00:00:00,2,323,12525,323,NULL,30:25.9,ATL,2,nfl,0
3,Baltimore,Ravens,BAL,FALSE,AFC,North,John Harbaugh,Greg Roman,Mike Macdonald,Chris Horton,3WR,4-Mar,24135F,0,9A7611,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,3,366,12555,366,NULL,30:25.9,BAL,36,nfl,0
4,Buffalo,Bills,BUF,FALSE,AFC,East,Sean McDermott,Ken Dorsey,Leslie Frazier,Matthew Smiley,3WR,3-Apr,00338D,C60C30,FFFFFF,00274D,NULL,NULL,NULL,0001-01-01 00:00:00,4,324,12526,324,NULL,30:26.0,BUF,37,nfl,0
5,Carolina,Panthers,CAR,FALSE,NFC,South,Matt Rhule,Ben McAdoo,Phil Snow,Chris Tabor,3WR,3-Apr,0,0085CA,BFC0BF,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,5,364,12553,364,NULL,30:26.0,CAR,5,nfl,0
6,Chicago,Bears,CHI,FALSE,NFC,North,Matt Eberflus,Luke Getsy,Alan Williams,Richard Hightower,3WR,4-Mar,0B162A,E64100,FFFFFF,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,6,326,12527,326,NULL,30:26.0,CHI,38,nfl,0
7,Cincinnati,Bengals,CIN,FALSE,AFC,North,Zac Taylor,Brian Callahan,Lou Anarumo,Darrin Simmons,3WR,3-Apr,0,FB4F14,FFFFFF,,NULL,NULL,NULL,0001-01-01 00:00:00,7,327,12528,327,NULL,30:26.1,CIN,7,nfl,0
8,Cleveland,Browns,CLE,FALSE,AFC,North,Kevin Stefanski,Alex Van Pelt,Joe Woods,Mike Priefer,3WR,3-Apr,311D00,FF3300,FFFFFF,,NULL,NULL,NULL,0001-01-01 00:00:00,8,329,12529,329,NULL,30:26.1,CLE,8,nfl,0
9,Dallas,Cowboys,DAL,FALSE,NFC,East,Mike McCarthy,Kellen Moore,Dan Quinn,John Fassel,3WR,3-Apr,2244,B0B7BC,00338D,FFFFFF,NULL,NULL,NULL,0001-01-01 00:00:00,9,331,12530,331,NULL,30:26.2,DAL,48,nfl,0
10,Denver,Broncos,DEN,FALSE,AFC,West,Nathaniel Hackett,Justin Outten,Ed Donatell,Tom McMahon,3WR,4-Mar,FC4C02,0A2343,FFFFFF,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,10,332,12531,332,NULL,30:26.2,DEN,49,nfl,0
11,Detroit,Lions,DET,FALSE,NFC,North,Dan Campbell,Ben Johnson,Aaron Glenn,Dave Fipp,3WR,4-Mar,0076B6,B0B7BC,NULL,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,11,334,12532,334,NULL,30:26.2,DET,11,nfl,0
12,Green Bay,Packers,GB,FALSE,NFC,North,Matt LaFleur,Adam Stenavich,Joe Barry,Rich Bisaccia,3WR,4-Mar,203731,FFB612,FFFFFF,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,12,335,12533,335,NULL,30:26.3,GB,12,nfl,0
13,Houston,Texans,HOU,FALSE,AFC,South,Lovie Smith,Pep Hamilton,NULL,Frank Ross,3WR,3-Apr,03202F,A71930,FFFFFF,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,13,325,12556,325,NULL,30:26.3,HOU,13,nfl,0
14,Indianapolis,Colts,IND,FALSE,AFC,South,Frank Reich,Marcus Brady,Gus Bradley,Bubba Ventrone,3WR,3-Apr,13369,FFFFFF,A5ACAF,1D252C,NULL,NULL,NULL,0001-01-01 00:00:00,14,338,12535,338,NULL,30:26.3,IND,14,nfl,0
15,Jacksonville,Jaguars,JAX,FALSE,AFC,South,Doug Pederson,Darrell Bevell,Joe Cullen,Heath Farwell,3WR,4-Mar,0,6778,9F792C,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,15,365,12554,365,NULL,30:26.4,JAX,52,nfl,0
16,Kansas City,Chiefs,KC,FALSE,AFC,West,Andy Reid,Eric Bieniemy,Steve Spagnuolo,Dave Toub,3WR,3-Apr,E31837,FFB612,FFFFFF,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,16,339,12536,339,NULL,30:26.4,KC,56,nfl,0
19,Miami,Dolphins,MIA,FALSE,AFC,East,Mike McDaniel,George Godsey & Eric Studesville,Josh Boyer,Danny Crossman,3WR,3-Apr,8.00E+97,FC4C02,FFFFFF,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,19,345,12539,345,NULL,30:26.6,MIA,64,nfl,0
20,Minnesota,Vikings,MIN,FALSE,NFC,North,Kevin O'Connell,Klint Kubiak,Adam Zimmer & Andre Patterson,NULL,3WR,3-Apr,4F2683,FFC62F,FFFFFF,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,20,347,12540,347,NULL,30:26.6,MIN,67,nfl,0
21,New England,Patriots,NE,FALSE,AFC,East,Bill Belichick,NULL,NULL,Cameron Achord,3WR,4-Mar,2244,C60C30,B0B7BC,FFFFFF,NULL,NULL,NULL,0001-01-01 00:00:00,21,348,12541,348,NULL,30:26.7,NE,21,nfl,0
22,New Orleans,Saints,NO,FALSE,NFC,South,Dennis Allen,Pete Carmichael,NULL,Darren Rizzi,3WR,3-Apr,D3BC8D,0,FFFFFF,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,22,350,12542,350,NULL,30:26.7,NO,69,nfl,0
23,New York,Giants,NYG,FALSE,NFC,East,Brain Daboll,Mike Kafka,Don Martindale,Thomas McGaughey,3WR,4-Mar,0B2265,A71930,FFFFFF,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,23,351,12543,351,NULL,30:26.7,NYG,75,nfl,0
24,New York,Jets,NYJ,FALSE,AFC,East,Robert Saleh,Mike LaFleur,Jeff Ulbrich,Brant Boyer,3WR,3-Apr,115740,FFFFFF,0,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,24,352,12544,352,NULL,30:26.8,NYJ,82,nfl,0
25,Las Vegas,Raiders,LV,FALSE,AFC,West,Josh McDaniels,Mick Lombardi,Patrick Graham,Tom McMahon,3WR,3-Apr,A5ACAF,0,NULL,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,25,341,12537,341,NULL,30:26.6,LV,83,nfl,0
26,Philadelphia,Eagles,PHI,FALSE,NFC,East,Nick Sirianni,Shane Steichen,Jonathan Gannon,Michael Clay,3WR,3-Apr,4851,A2AAAD,0,FFFFFF,NULL,NULL,NULL,0001-01-01 00:00:00,26,354,12545,354,NULL,30:26.8,PHI,26,nfl,0
28,Pittsburgh,Steelers,PIT,FALSE,AFC,North,Mike Tomlin,Matt Canada,Teryl Austin,Danny Smith,3WR,4-Mar,0,FFB612,NULL,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,28,356,12547,356,NULL,30:26.9,PIT,28,nfl,0
29,Los Angeles,Chargers,LAC,FALSE,AFC,West,Brandon Staley,Joe Lombardi,Renaldo Hill,Ryan Ficken,3WR,4-Mar,0080C6,FFC20E,FFFFFF,FFB612,NULL,NULL,NULL,0001-01-01 00:00:00,29,357,12548,357,NULL,30:26.5,LAC,84,nfl,0
30,Seattle,Seahawks,SEA,FALSE,NFC,West,Pete Carroll,Shane Waldron,NULL,Larry Izzo,3WR,3-Apr,2244,69BE28,A5ACAF,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,30,361,12550,361,NULL,30:26.9,SEA,90,nfl,0
31,San Francisco,49ers,SF,FALSE,NFC,West,Kyle Shanahan,NULL,DeMeco Ryans,NULL,3WR,3-Apr,AA0000,B3995D,NULL,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,31,359,12549,359,NULL,30:27.0,SF,93,nfl,0
32,Los Angeles,Rams,LAR,FALSE,NFC,West,Sean McVay,Kevin O'Connell,Raheem Morris,Joe DeCamillis,3WR,4-Mar,3594,FFD100,FFFFFF,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,32,343,12538,343,NULL,30:26.5,LA,32,nfl,0
33,Tampa Bay,Buccaneers,TB,FALSE,NFC,South,Bruce Arians,Byron Leftwich,Todd Bowles,Keith Armstrong,3WR,4-Mar,A71930,322F2B,DC4405,0,NULL,NULL,NULL,0001-01-01 00:00:00,33,362,12551,362,NULL,30:27.0,TB,95,nfl,0
34,Tennessee,Titans,TEN,FALSE,AFC,South,Mike Vrabel,Todd Downing,Shane Bowen,Craig Aukerman,3WR,4-Mar,2244,4B92DB,C60C30,A5ACAF,NULL,NULL,NULL,0001-01-01 00:00:00,34,336,12534,336,NULL,30:27.0,TEN,34,nfl,0
35,Washington,Commanders,WAS,FALSE,NFC,East,Ron Rivera,Scott Turner,Jack Del Rio,Nate Kaczor,3WR,3-Apr,5A1414,FFB612,NULL,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,35,363,12552,363,NULL,30:27.1,WAS,97,nfl,0
